,CD86_DC,CD80_DC,CD40_DC,DR_DC,CD86_Mo,CD80_Mo,CD40_Mo,Dr_Mo,CD86_B,CD80_B,CD40_B,DR_B,CD86pos_DC,CD80pos_DC,CD40pos_DC,DRpos_DC,CD86pos_Mo,CD80pos_Mo,CD40pos_Mo,DRpos_Mo,CD86pos_B,CD80pos_B,CD40pos_B,DRpos_B
Mix_coculture_CD3neg_E7_E07.fcs,6073,142,953,25277,6708,295,1291,27565,2905,69.8,2106,48607,98,14.8,51.3,99.8,99.4,48.2,62.4,100,98.1,4.79,93,100
Mix_coculture_CD3neg_F5_F05.fcs,8643,90.6,904,23898,6123,105,894,21709,3021,51.6,2044,49196,99,2.02,51,99.8,99.5,3.77,47.4,99.9,98.9,1.44,93.8,100
Mix_coculture_CD3neg_F6_F06.fcs,9467,89.5,894,23800,5863,97.4,823,20471,2943,50,2046,49598,99.7,1.88,48.6,100,99.4,2.1,43.1,99.9,99,1.34,94,100
Mix_coculture_CD3neg_F7_F07.fcs,9225,91.2,891,24539,5825,97.4,807,20833,3072,51.5,2056,50537,99.9,1.49,49.1,99.8,99.3,2.77,41.1,100,99.3,1.83,93.7,100
Mix_coculture_CD3neg_G5_G05.fcs,6151,105,642,22304,5276,114,718,17816,2615,59.3,1975,52290,98.2,4.02,34.7,99.6,98.6,4.58,39.2,99.8,97.6,1.68,93,100
Mix_coculture_CD3neg_G6_G06.fcs,6483,84.5,625,21921,5227,88.2,681,17753,2648,51.5,1868,50376,98.1,3.53,33,100,99,2.43,36.3,99.7,97.7,1.37,90.9,100
Mix_coculture_CD3neg_G7_G07.fcs,6289,90.3,615,22651,5670,95.8,711,18832,2511,44,1845,50014,97.6,4.09,32.4,99.9,98.9,3.8,38.2,99.9,97.3,1.35,91.7,100
Transwell_B8_B08.fcs,8207,93.3,667,24616,3977,96.2,526,19533,2375,48.2,1754,49296,98.7,1.66,33.9,100,96.6,1,25.2,99.9,96,0.91,90.2,100
Transwell_B9_B09.fcs,7904,86.5,638,23401,3689,95.4,524,18035,2349,46.3,1720,48952,97.9,0.98,31.7,100,95,0.93,25.5,99.8,96.1,0.79,90.5,100
Transwell_B10_B10.fcs,7981,103,624,23503,3890,111,533,18150,2417,55.6,1750,49976,98.1,2.43,32.5,100,95.8,2.04,25.9,99.8,96.4,1.16,91.2,100
