,Timepoint,Condition,PBMC_sample,Cell_Type,MFI,Positive_Percentage
63,24,PBMC_Only,Whole_PBMC,CD80_B,52.166666666666664,1.0766666666666669
64,24,PBMC_Only,Whole_PBMC,CD80_DC,117.33333333333333,6.22
65,24,PBMC_Only,Whole_PBMC,CD80_MO,99.16666666666667,2.9166666666666665
66,24,PBMC_Only,Whole_PBMC,CD86_B,2481.0,96.93333333333332
67,24,PBMC_Only,Whole_PBMC,CD86_DC,9447.0,98.39999999999999
68,24,PBMC_Only,Whole_PBMC,CD86_MO,4764.0,97.63333333333333
69,24,PBMC_Only,Whole_PBMC,DR_B,52655.0,100.0
70,24,PBMC_Only,Whole_PBMC,DR_DC,28144.666666666668,99.96666666666665
71,24,PBMC_Only,Whole_PBMC,DR_MO,23647.666666666668,99.90000000000002
72,24,TGE12_Cal27,CD3neg_PBMC,CD40_B,2077.6666666666665,93.23333333333333
73,24,TGE12_Cal27,CD3neg_PBMC,CD40_DC,914.0,48.300000000000004
74,24,TGE12_Cal27,CD3neg_PBMC,CD40_MO,1325.3333333333333,63.6
75,24,TGE12_Cal27,CD3neg_PBMC,CD80_B,61.76666666666667,3.4599999999999995
76,24,TGE12_Cal27,CD3neg_PBMC,CD80_DC,153.0,16.366666666666667
77,24,TGE12_Cal27,CD3neg_PBMC,CD80_MO,292.0,48.23333333333333
78,24,TGE12_Cal27,CD3neg_PBMC,CD86_B,2778.6666666666665,98.03333333333335
79,24,TGE12_Cal27,CD3neg_PBMC,CD86_DC,5820.0,97.43333333333334
80,24,TGE12_Cal27,CD3neg_PBMC,CD86_MO,6511.333333333333,99.39999999999999
81,24,TGE12_Cal27,CD3neg_PBMC,DR_B,48868.333333333336,100.0
82,24,TGE12_Cal27,CD3neg_PBMC,DR_DC,26172.666666666668,99.86666666666667
83,24,TGE12_Cal27,CD3neg_PBMC,DR_MO,28294.666666666668,99.89999999999999
84,24,TGE12_Cal27,TW,CD40_B,1800.6666666666667,91.86666666666667
85,24,TGE12_Cal27,TW,CD40_DC,1392.0,66.66666666666667
86,24,TGE12_Cal27,TW,CD40_MO,1120.3333333333333,58.699999999999996
87,24,TGE12_Cal27,TW,CD80_B,53.36666666666667,2.0466666666666664
88,24,TGE12_Cal27,TW,CD80_DC,276.3333333333333,40.699999999999996
